holiday,locale,transferred,sales,onpromotion
Holiday,National,False,2511.618999,0.0
Not Holiday,Not Holiday,False,496092.417944,0.0
Not Holiday,Not Holiday,False,361461.231124,0.0
Not Holiday,Not Holiday,False,354459.6770927,0.0
Work Day,National,False,477350.121229,0.0
Not Holiday,Not Holiday,False,519695.401088,0.0
Not Holiday,Not Holiday,False,336122.801066,0.0
Not Holiday,Not Holiday,False,318347.777981,0.0
Not Holiday,Not Holiday,False,302530.809018,0.0
Not Holiday,Not Holiday,False,258982.003049,0.0
Not Holiday,Not Holiday,False,289737.6850845,0.0
Work Day,National,False,403258.2120105,0.0
Not Holiday,Not Holiday,False,464638.547998,0.0
Not Holiday,Not Holiday,False,293348.362078,0.0
Not Holiday,Not Holiday,False,299129.549954,0.0
Not Holiday,Not Holiday,False,318347.913946,0.0
Not Holiday,Not Holiday,False,267498.5159755,0.0
Not Holiday,Not Holiday,False,296130.850028,0.0
Not Holiday,Not Holiday,False,432459.852021,0.0
Not Holiday,Not Holiday,False,461092.386047,0.0
Not Holiday,Not Holiday,False,311211.26595000003,0.0
Not Holiday,Not Holiday,False,296214.728983,0.0
Not Holiday,Not Holiday,False,283258.4530325,0.0
Not Holiday,Not Holiday,False,247245.690995,0.0
Not Holiday,Not Holiday,False,290022.77193,0.0
Not Holiday,Not Holiday,False,413799.7679753,0.0
Not Holiday,Not Holiday,False,430411.991233,0.0
Not Holiday,Not Holiday,False,285460.169953,0.0
Not Holiday,Not Holiday,False,264488.81807649997,0.0
Not Holiday,Not Holiday,False,281061.127052,0.0
Not Holiday,Not Holiday,False,271254.217996,0.0
Not Holiday,Not Holiday,False,369402.055266,0.0
Not Holiday,Not Holiday,False,518887.462705,0.0
Not Holiday,Not Holiday,False,486336.82018,0.0
Not Holiday,Not Holiday,False,344308.715017,0.0
Not Holiday,Not Holiday,False,321245.83913,0.0
Not Holiday,Not Holiday,False,321538.177149,0.0
Not Holiday,Not Holiday,False,290807.530973,0.0
Not Holiday,Not Holiday,False,347441.789912,0.0
Not Holiday,Not Holiday,False,416176.2790747,0.0
Not Holiday,Not Holiday,False,300951.328993,0.0
Holiday,National,False,278627.588926,0.0
Holiday,National,False,308800.7909121,0.0
Not Holiday,Not Holiday,False,319597.929962,0.0
Not Holiday,Not Holiday,False,308164.016957,0.0
Not Holiday,Not Holiday,False,320168.883912,0.0
Not Holiday,Not Holiday,False,485660.494008,0.0
Not Holiday,Not Holiday,False,399588.910014,0.0
Not Holiday,Not Holiday,False,350745.573191,0.0
Not Holiday,Not Holiday,False,293637.801951,0.0
Not Holiday,Not Holiday,False,313803.162034,0.0
Not Holiday,Not Holiday,False,267711.1090155,0.0
Not Holiday,Not Holiday,False,285679.869131,0.0
Not Holiday,Not Holiday,False,412897.349113,0.0
Not Holiday,Not Holiday,False,452726.126103,0.0
Not Holiday,Not Holiday,False,307110.875933,0.0
Not Holiday,Not Holiday,False,270425.0070675,0.0
Not Holiday,Not Holiday,False,288401.998919,0.0
Not Holiday,Not Holiday,False,278116.291888,0.0
Not Holiday,Not Holiday,False,378898.165064,0.0
Holiday,Local,False,547857.205258,0.0
Not Holiday,Not Holiday,False,559820.580027,0.0
Not Holiday,Not Holiday,False,383647.679097,0.0
Not Holiday,Not Holiday,False,332189.993189,0.0
Not Holiday,Not Holiday,False,335726.580968,0.0
Not Holiday,Not Holiday,False,293099.52701,0.0
Not Holiday,Not Holiday,False,316600.679967,0.0
Not Holiday,Not Holiday,False,453259.496866,0.0
Not Holiday,Not Holiday,False,461859.756153,0.0
Not Holiday,Not Holiday,False,318379.133021,0.0
Not Holiday,Not Holiday,False,271823.37801,0.0
Not Holiday,Not Holiday,False,287869.663972,0.0
Not Holiday,Not Holiday,False,247541.420096,0.0
Not Holiday,Not Holiday,False,315878.090213,0.0
Not Holiday,Not Holiday,False,482233.433961,0.0
Not Holiday,Not Holiday,False,513439.584913,0.0
Not Holiday,Not Holiday,False,330283.80303,0.0
Not Holiday,Not Holiday,False,294020.245897,0.0
Not Holiday,Not Holiday,False,321207.006946,0.0
Not Holiday,Not Holiday,False,269130.127953,0.0
Not Holiday,Not Holiday,False,304100.453969,0.0
Not Holiday,Not Holiday,False,453192.003086,0.0
Not Holiday,Not Holiday,False,449794.636951,0.0
Not Holiday,Not Holiday,False,317559.6099585,0.0
Not Holiday,Not Holiday,False,275818.2359,0.0
Not Holiday,Not Holiday,False,313691.148998,0.0
Not Holiday,Not Holiday,False,339293.269022,0.0
Not Holiday,Not Holiday,False,345513.132,0.0
Not Holiday,Not Holiday,False,452661.356036,0.0
Not Holiday,Not Holiday,False,462107.639956,0.0
Holiday,Regional,False,428816.447912,0.0
Not Holiday,Not Holiday,False,377732.827961,0.0
Not Holiday,Not Holiday,False,373731.0758793,0.0
Not Holiday,Not Holiday,False,308738.385963,0.0
Not Holiday,Not Holiday,False,336394.782031,0.0
Not Holiday,Not Holiday,False,509424.214023,0.0
Not Holiday,Not Holiday,False,519048.376884,0.0
Not Holiday,Not Holiday,False,346649.815943,0.0
Not Holiday,Not Holiday,False,306335.8019617,0.0
Not Holiday,Not Holiday,False,312846.374941,0.0
Not Holiday,Not Holiday,False,303223.41301,0.0
Holiday,Local,False,314394.967035,0.0
Not Holiday,Not Holiday,False,453442.497048,0.0
Holiday,Local,False,478417.148813,0.0
Not Holiday,Not Holiday,False,338712.458055,0.0
Not Holiday,Not Holiday,False,333431.880049,0.0
Not Holiday,Not Holiday,False,334990.518942,0.0
Not Holiday,Not Holiday,False,281924.509951,0.0
Not Holiday,Not Holiday,False,311588.70494,0.0
Not Holiday,Not Holiday,False,459884.838043,0.0
Holiday,Local,False,485721.032087,0.0
Not Holiday,Not Holiday,False,328886.320986,0.0
Not Holiday,Not Holiday,False,302097.8329435,0.0
Not Holiday,Not Holiday,False,310555.184925,0.0
Not Holiday,Not Holiday,False,268790.618996,0.0
Not Holiday,Not Holiday,False,304413.556952,0.0
Not Holiday,Not Holiday,False,446665.337895,0.0
Not Holiday,Not Holiday,False,477623.4729303,0.0
Holiday,National,False,328795.874018,0.0
Not Holiday,Not Holiday,False,310186.466894,0.0
Holiday,National,False,507974.636889,0.0
Not Holiday,Not Holiday,False,348709.460063,0.0
Not Holiday,Not Holiday,False,374291.2510323,0.0
Not Holiday,Not Holiday,False,520339.51596499997,0.0
Not Holiday,Not Holiday,False,580268.550981,0.0
Not Holiday,Not Holiday,False,369869.383046,0.0
Not Holiday,Not Holiday,False,317292.964148,0.0
Not Holiday,Not Holiday,False,332477.410968,0.0
Not Holiday,Not Holiday,False,305868.0570225,0.0
Not Holiday,Not Holiday,False,335937.441949,0.0
Additional,National,False,512090.58108,0.0
Event,National,False,387860.5050145,0.0
Holiday,Local,False,387860.5050145,0.0
Not Holiday,Not Holiday,False,350598.06187,0.0
Not Holiday,Not Holiday,False,308469.313119,0.0
Not Holiday,Not Holiday,False,329113.560081,0.0
Not Holiday,Not Holiday,False,307556.946937,0.0
Not Holiday,Not Holiday,False,330004.241998,0.0
Not Holiday,Not Holiday,False,480969.558942,0.0
Not Holiday,Not Holiday,False,518153.554009,0.0
Not Holiday,Not Holiday,False,341787.214991,0.0
Not Holiday,Not Holiday,False,307178.399952,0.0
Not Holiday,Not Holiday,False,301785.4831075,0.0
Not Holiday,Not Holiday,False,289261.058026,0.0
Holiday,National,False,398389.241982,0.0
Not Holiday,Not Holiday,False,417930.141993,0.0
Not Holiday,Not Holiday,False,450631.400068,0.0
Not Holiday,Not Holiday,False,321630.8309235,0.0
Not Holiday,Not Holiday,False,307329.1680565,0.0
Not Holiday,Not Holiday,False,309333.380899,0.0
Not Holiday,Not Holiday,False,304344.849939,0.0
Not Holiday,Not Holiday,False,330257.841975,0.0
Not Holiday,Not Holiday,False,566901.814988,0.0
Not Holiday,Not Holiday,False,637698.494958,0.0
Not Holiday,Not Holiday,False,426332.097995,0.0
Not Holiday,Not Holiday,False,369705.160085,0.0
Not Holiday,Not Holiday,False,361791.080915,0.0
Not Holiday,Not Holiday,False,317496.765891,0.0
Not Holiday,Not Holiday,False,357673.087977,0.0
Not Holiday,Not Holiday,False,466292.699096,0.0
Not Holiday,Not Holiday,False,526804.730256,0.0
Not Holiday,Not Holiday,False,349754.291978,0.0
Not Holiday,Not Holiday,False,283858.2159925,0.0
Not Holiday,Not Holiday,False,320173.5779987,0.0
Not Holiday,Not Holiday,False,282886.9200452,0.0
Not Holiday,Not Holiday,False,326956.74210719997,0.0
Not Holiday,Not Holiday,False,505950.6668701,0.0
Not Holiday,Not Holiday,False,435894.082881,0.0
Not Holiday,Not Holiday,False,370944.271024,0.0
Not Holiday,Not Holiday,False,320885.3399215,0.0
Not Holiday,Not Holiday,False,319235.25797700003,0.0
Not Holiday,Not Holiday,False,293877.944015,0.0
Not Holiday,Not Holiday,False,319722.6870265,0.0
Not Holiday,Not Holiday,False,446347.312096,0.0
Holiday,Local,False,504964.845142,0.0
Not Holiday,Not Holiday,False,336631.9640383,0.0
Holiday,Local,False,610239.060128,0.0
Holiday,Regional,False,305119.530064,0.0
Not Holiday,Not Holiday,False,301847.2489636,0.0
Not Holiday,Not Holiday,False,266525.458966,0.0
Not Holiday,Not Holiday,False,324210.971803,0.0
Not Holiday,Not Holiday,False,509379.108146,0.0
Not Holiday,Not Holiday,False,533481.693027,0.0
Not Holiday,Not Holiday,False,441758.3880965,0.0
Not Holiday,Not Holiday,False,390958.38408,0.0
Holiday,Local,False,749103.835898,0.0
Not Holiday,Not Holiday,False,327020.179028,0.0
Not Holiday,Not Holiday,False,351401.500074,0.0
Not Holiday,Not Holiday,False,479514.493924,0.0
Not Holiday,Not Holiday,False,500606.073078,0.0
Not Holiday,Not Holiday,False,365452.995017,0.0
Not Holiday,Not Holiday,False,317279.1449993,0.0
Not Holiday,Not Holiday,False,314134.886071,0.0
Not Holiday,Not Holiday,False,281750.931023,0.0
Not Holiday,Not Holiday,False,308786.438133,0.0
Not Holiday,Not Holiday,False,432569.1022205,0.0
Not Holiday,Not Holiday,False,438722.417857,0.0
Not Holiday,Not Holiday,False,348803.0469486,0.0
Not Holiday,Not Holiday,False,335516.229006,0.0
Not Holiday,Not Holiday,False,324313.8180255,0.0
Not Holiday,Not Holiday,False,287074.8739522,0.0
Not Holiday,Not Holiday,False,313332.555049,0.0
Not Holiday,Not Holiday,False,435497.731013,0.0
Not Holiday,Not Holiday,False,437952.624049,0.0
Not Holiday,Not Holiday,False,342802.29905,0.0
Holiday,Local,False,316257.463107,0.0
Additional,Local,False,309243.7899995,0.0
Holiday,Local,False,298074.2249247,0.0
Not Holiday,Not Holiday,False,318745.692921,0.0
Not Holiday,Not Holiday,False,423890.5020012,0.0
Not Holiday,Not Holiday,False,433358.6520873,0.0
Not Holiday,Not Holiday,False,331493.2850525,0.0
Not Holiday,Not Holiday,False,318553.989932,0.0
Not Holiday,Not Holiday,False,357982.979012,0.0
Not Holiday,Not Holiday,False,397555.3181021,0.0
Not Holiday,Not Holiday,False,393831.120007,0.0
Not Holiday,Not Holiday,False,516956.846013,0.0
Not Holiday,Not Holiday,False,514267.27594,0.0
Holiday,Local,False,407033.810946,0.0
Not Holiday,Not Holiday,False,357263.854086,0.0
Not Holiday,Not Holiday,False,351302.132003,0.0
Not Holiday,Not Holiday,False,310953.0239315,0.0
Not Holiday,Not Holiday,False,337521.667868,0.0
Holiday,National,False,434184.94409,0.0
Not Holiday,Not Holiday,False,434720.3230013,0.0
Not Holiday,Not Holiday,False,349539.224033,0.0
Not Holiday,Not Holiday,False,317103.331061,0.0
Not Holiday,Not Holiday,False,324377.386893,0.0
Holiday,Local,False,311043.17291,0.0
Not Holiday,Not Holiday,False,364487.3218839,0.0
Not Holiday,Not Holiday,False,448835.3109167,0.0
Not Holiday,Not Holiday,False,464053.7730675,0.0
Not Holiday,Not Holiday,False,362085.52696,0.0
Not Holiday,Not Holiday,False,343046.11398,0.0
Not Holiday,Not Holiday,False,335724.643932,0.0
Not Holiday,Not Holiday,False,306473.26098,0.0
Not Holiday,Not Holiday,False,331906.369098,0.0
Holiday,Local,False,420576.154994,0.0
Not Holiday,Not Holiday,False,443694.093754,0.0
Not Holiday,Not Holiday,False,347159.6410143,0.0
Not Holiday,Not Holiday,False,319688.2190185,0.0
Not Holiday,Not Holiday,False,319322.060993,0.0
Not Holiday,Not Holiday,False,294518.685943,0.0
Not Holiday,Not Holiday,False,354932.930947,0.0
Not Holiday,Not Holiday,False,523631.3811059,0.0
Not Holiday,Not Holiday,False,640406.221875,0.0
Not Holiday,Not Holiday,False,458792.960966,0.0
Not Holiday,Not Holiday,False,397680.420032,0.0
Not Holiday,Not Holiday,False,392565.48591,0.0
Not Holiday,Not Holiday,False,330622.779063,0.0
Not Holiday,Not Holiday,False,335442.247929,0.0
Not Holiday,Not Holiday,False,518584.247,0.0
Not Holiday,Not Holiday,False,560852.005091,0.0
Not Holiday,Not Holiday,False,377151.7070027,0.0
Not Holiday,Not Holiday,False,308074.4658225,0.0
Not Holiday,Not Holiday,False,323124.61885,0.0
Not Holiday,Not Holiday,False,282855.730937,0.0
Not Holiday,Not Holiday,False,319556.942029,0.0
Not Holiday,Not Holiday,False,476364.004996,0.0
Not Holiday,Not Holiday,False,532852.959041,0.0
Not Holiday,Not Holiday,False,373229.840879,0.0
Not Holiday,Not Holiday,False,327282.949966,0.0
Not Holiday,Not Holiday,False,315687.718926,0.0
Not Holiday,Not Holiday,False,279580.372008,0.0
Not Holiday,Not Holiday,False,331846.9039701,0.0
Not Holiday,Not Holiday,False,468298.380896,0.0
Not Holiday,Not Holiday,False,502068.7019007,0.0
Not Holiday,Not Holiday,False,356043.0340047,0.0
